Year,SP500,3Month,10Yr,10YrRate,Baa Corporate,Real Estate,Gold,REIT,Inflation$,USGDP%,PE,CAPE
1928,0.4381,0.0308,0.0084,0.036,0.0322,0.0149,0.001,0.2339,-0.012,0.011,17.77,27.0832
1929,-0.083,0.0316,0.042,0.0329,0.0302,-0.0206,-0.0015,-0.1776,0,0.0652,13.94,22.3107
1930,-0.2512,0.0455,0.0454,0.0334,0.0054,-0.043,0.001,-0.3679,-0.027,-0.1186,17,16.7055
1931,-0.4384,0.0231,-0.0256,0.0368,-0.1568,-0.0815,-0.1738,-0.4111,-0.089,-0.1603,13.99,9.3124
1932,-0.0864,0.0107,0.0879,0.0331,0.2359,-0.1047,0.2128,-0.3214,-0.103,-0.2309,17.19,8.728
1933,0.4998,0.0096,0.0186,0.0312,0.1297,-0.0381,0.2726,0.2336,-0.052,-0.0398,23.73,13.0251
1934,-0.0119,0.0028,0.0796,0.0279,0.1882,0.0291,0.3175,0.0647,0.035,0.1688,16.25,11.4959
1935,0.4674,0.0017,0.0447,0.0265,0.1331,0.0977,0.0043,0.2363,0.026,0.1114,17.87,17.0874
1936,0.3194,0.0017,0.0502,0.0268,0.1138,0.0322,0.0009,0.2287,0.01,0.1426,16.75,21.6187
1937,-0.3534,0.0028,0.0138,0.0256,-0.0442,0.0256,-0.0023,-0.3697,0.037,0.0963,10.5,13.5115
1938,0.2928,0.0007,0.0421,0.0236,0.0924,-0.0087,0.0017,0.2185,-0.02,-0.0608,18.84,15.5996
1939,-0.011,0.0005,0.0441,0.0221,0.0798,-0.013,-0.0123,-0.0371,-0.013,0.0697,13.23,16.3785
1940,-0.1067,0.0004,0.054,0.0195,0.0865,0.0331,-0.0166,-0.0728,0.007,0.1013,10.02,13.9042
1941,-0.1277,0.0013,-0.0202,0.0246,0.0501,-0.0838,0,-0.3305,0.051,0.2567,7.97,10.1017
1942,0.1917,0.0034,0.0229,0.0247,0.0518,0.0333,0,0.2095,0.109,0.2834,9.67,10.1505
1943,0.2506,0.0038,0.0249,0.0248,0.0804,0.1145,0,0.2309,0.06,0.2238,12.65,11.0524
1944,0.1903,0.0038,0.0258,0.0237,0.0657,0.1658,0,0.2307,0.016,0.1052,14.35,11.9605
1945,0.3582,0.0038,0.038,0.0219,0.068,0.1178,0.0254,0.235,0.023,0.0159,19.17,15.6232
1946,-0.0843,0.0038,0.0313,0.0225,0.0251,0.241,0,0.2032,0.085,-0.0021,13.46,11.4693
1947,0.052,0.006,0.0092,0.0244,0.0026,0.2126,0,0.2231,0.144,0.097,9.02,10.4193
1948,0.057,0.0105,0.0195,0.0231,0.0344,0.0206,0,0.1271,0.077,0.0996,6.62,10.2483
1949,0.183,0.0112,0.0466,0.0232,0.0538,0.0009,-0.087,0.1907,-0.01,-0.0073,7.22,10.7457
1950,0.3081,0.012,0.0043,0.0257,0.0424,0.0364,0.0956,0.2282,0.011,0.1004,7.48,11.8958
1951,0.2368,0.0152,-0.003,0.0268,-0.0019,0.0605,0,0.2241,0.079,0.157,9.97,12.5271
1952,0.1815,0.0172,0.0227,0.0283,0.0444,0.0441,-0.0035,0.2106,0.023,0.0589,10.86,13.0108
1953,-0.0121,0.0189,0.0414,0.0248,0.0162,0.1152,0.0069,0.1741,0.008,0.0596,10.09,12.0027
1954,0.5256,0.0094,0.0329,0.0261,0.0616,0.0092,0.0057,0.2357,0.003,0.0034,12.56,15.9908
1955,0.326,0.0172,-0.0134,0.029,0.0204,0,-0.0003,0.2252,-0.003,0.0894,12.12,18.2926
1956,0.0744,0.0262,-0.0226,0.0346,-0.0235,0.0091,-0.0011,0.1267,0.015,0.0561,13.34,16.7178
1957,-0.1046,0.0322,0.068,0.0309,-0.0072,0.0272,-0.0011,-0.0856,0.033,0.0549,12.49,13.7884
1958,0.4372,0.0177,-0.021,0.0402,0.0643,0.0066,0.0043,0.2335,0.027,0.0152,18.77,17.9803
1959,0.1206,0.0339,-0.0265,0.0472,0.0157,0.0011,0,0.155,0.0108,0.084,17.12,18.3383
1960,0.0034,0.0287,0.1164,0.0384,0.0666,0.0077,0.0048,0.0387,0.015,0.0397,18.6,18.4704
1961,0.2664,0.0235,0.0206,0.0408,0.051,0.0098,-0.0006,0.2185,0.011,0.0366,21.25,21.1979
1962,-0.0881,0.0277,0.0569,0.0383,0.065,0.0032,-0.0006,-0.1239,0.012,0.0742,17.66,19.2592
1963,0.2261,0.0316,0.0168,0.0417,0.0546,0.0214,-0.004,0.2137,0.012,0.0555,18.77,21.6272
